gene,0,1,2,3,4,5,6
MIR1302-2HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM138A,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.1,-0.006571959,-0.010125544,0.025149845,0.014590736,-0.06897836,0.05347595,0.03902445
AL627309.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL627309.2,-0.018260289,-0.018260356,-0.0182604,0.052536983,-0.018260477,-0.018260475,-0.018260472
AL627309.5,0.046191927,0.023688363,0.055864036,-0.0330187,-0.08436656,-0.03862592,-0.22090612
AL627309.4,0.050431207,-0.07308276,0.03494349,-0.012512255,-0.007659847,0.021569448,-0.10512742
AP006222.2,-0.018260289,0.032877926,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
AL732372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC114498.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR4F16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL669831.2,0.0021872136,-0.036521334,-0.03652126,0.08884678,-0.036521163,-0.036521252,0.27757236
LINC01409,-0.06726255,0.036083106,0.030331876,-0.038010225,0.00949969,0.15474927,-0.19050346
FAM87B,-0.029458396,0.07003928,-0.054843936,0.073811695,-0.0073474483,-0.054843966,-0.054844093
LINC01128,-0.072553284,-0.025009291,-0.06367273,0.07223743,0.12134766,0.13911226,-0.153998
LINC00115,-0.06400635,0.0030142567,-0.019218009,0.047365736,0.072167985,0.023298092,0.008272852
FAM41C,-0.06591117,-0.01970918,0.09233032,-0.024543542,0.07387424,0.0036325546,-0.08381745
AL645608.6,0.02391236,0.0058864816,-0.0546799,-0.011152421,-0.010913512,0.0028659035,0.17570218
AL645608.2,-0.011376464,0.0326793,-0.006563522,-0.044687267,0.07164882,-0.044687264,-0.044687256
AL645608.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC02593,0.023086853,-0.018260356,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
SAMD11,-0.040837757,0.0017923712,0.0057224627,0.018621584,0.024263425,0.045154978,-0.040837523
NOC2L,-0.18857944,0.020942366,0.06788478,-0.058175564,0.1489918,0.36151293,-0.44484672
KLHL17,-0.021814017,0.06995083,-0.0010109569,-0.06055981,-0.010720874,0.054842737,-0.10679428
PLEKHN1,0.04230286,-0.01961349,0.13900645,-0.101868734,-0.05078495,-0.07391732,-0.10186864
PERM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.7,-0.03723573,-0.009642821,-0.050367717,0.05145093,0.12261804,-0.007295987,-0.087646015
HES4,-0.14658025,-0.08457536,-0.050445408,0.065070674,0.4252562,-0.083900176,0.15964177
ISG15,-0.31183714,-0.11376554,0.17190638,0.09236739,0.42379546,0.1165812,-0.3234512
AL645608.1,-0.033166625,0.020857358,-0.07301459,0.025456514,0.07083032,0.06912521,-0.073014595
AGRN,-0.04516224,-0.07717991,0.017821977,0.12422317,0.051169652,-0.009508982,-0.010139436
AL645608.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL645608.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNF223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf159,-0.10385972,-0.005792753,0.110251755,-0.02143605,0.01392863,0.13321494,-0.11763011
AL390719.3,-0.019103376,-0.010097501,0.056900598,0.0033848477,-0.013491013,0.00970279,-0.096859954
LINC01342,0.010041035,-0.03132444,-0.031324446,0.03950414,-0.031324465,0.06259736,-0.03132461
AL390719.2,-0.018260289,0.032877713,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
TTLL10-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTLL10,-0.018260289,0.032877527,-0.0182604,-0.018260477,-0.018260477,-0.018260475,-0.018260472
TNFRSF18,-0.00086446694,-0.042355765,-0.0682653,-0.068265386,0.0071127596,0.34858274,-0.06826497
TNFRSF4,-0.026385723,-0.038341586,0.010346792,-0.08164212,-0.01687074,0.26293808,0.07646478
SDF4,-0.19911285,0.050307345,0.13239183,-0.07655022,0.097665444,0.19238324,-0.11619051
B3GALT6,-0.14680171,0.04311104,0.09148738,-0.048747342,0.018590808,0.23907715,-0.18795861
C1QTNF12,-0.06061422,0.051988464,-0.029189825,0.018505115,0.07083913,-0.0030818058,-0.060613938
AL162741.1,-0.04077006,-0.040770173,0.095042646,-0.040770404,0.021733114,-0.040770445,0.26559308
UBE2J2,-0.11321092,0.033647686,0.044153094,-0.029285379,0.028650247,0.23122019,-0.23430191
LINC01786,-0.029033775,-0.022903869,0.014420449,0.07889206,-0.05476376,0.07262242,-0.054763645
SCNN1D,-0.031917613,0.0627424,-0.027582513,-0.057752494,-0.05775248,0.19595791,-0.05775231
ACAP3,-0.049906123,0.07370791,0.061812628,-0.069810964,-0.11130888,0.13813914,-0.044762082
PUSL1,-0.074582934,0.013567424,-0.0052406034,0.0048138285,0.008844885,0.20672913,-0.1324339
