peak	gene	Pair	Peak2Gene
chr1-89196985-89201657	GBP2	chr1-89196985-89201657_GBP2	TRUE
chr6-33077557-33083333	HLA-DPA1	chr6-33077557-33083333_HLA-DPA1	TRUE
chr6-137789753-137792920	TNFAIP3	chr6-137789753-137792920_TNFAIP3	TRUE
chr1-212604203-212626574	ATF3	chr1-212604203-212626574_ATF3	TRUE
chr2-96541661-96555628	ARID5A	chr2-96541661-96555628_ARID5A	TRUE
chr11-60977201-60989782	CD6	chr11-60977201-60989782_CD6	TRUE
chr11-311666-318111	IFITM2	chr11-311666-318111_IFITM2	TRUE
chr12-4268219-4277571	CCND2	chr12-4268219-4277571_CCND2	TRUE
chr21-14547822-14550715	SAMSN1	chr21-14547822-14550715_SAMSN1	TRUE
chr6-33027480-33030628	HLA-DMA	chr6-33027480-33030628_HLA-DMA	TRUE
chr5-150385442-150415310	CD74	chr5-150385442-150415310_CD74	TRUE
chr2-191689186-191692372	NABP1	chr2-191689186-191692372_NABP1	TRUE
chr7-106247094-106249884	NAMPT	chr7-106247094-106249884_NAMPT	TRUE
chr2-68378893-68380837	PLEK	chr2-68378893-68380837_PLEK	TRUE
chr6-32656886-32662290	HLA-DQB1	chr6-32656886-32662290_HLA-DQB1	TRUE
chr16-87404200-87408211	MAP1LC3B	chr16-87404200-87408211_MAP1LC3B	TRUE
chr6-144167601-144170469	STX11	chr6-144167601-144170469_STX11	TRUE
chr6-33027480-33030628	HLA-DPB1	chr6-33027480-33030628_HLA-DPB1	TRUE
chr19-49564334-49572048	RPL13A	chr19-49564334-49572048_RPL13A	TRUE
chr19-18500476-18510672	ELL	chr19-18500476-18510672_ELL	TRUE
chr6-33077557-33083333	HLA-DPB1	chr6-33077557-33083333_HLA-DPB1	TRUE
chr22-38217689-38223777	MAFF	chr22-38217689-38223777_MAFF	TRUE
chr8-124788671-124790736	MTSS1	chr8-124788671-124790736_MTSS1	TRUE
chr19-49564334-49572048	NOSIP	chr19-49564334-49572048_NOSIP	TRUE
chr1-116737009-116739979	CD2	chr1-116737009-116739979_CD2	TRUE
chr1-27978911-27980217	XKR8	chr1-27978911-27980217_XKR8	TRUE
chr9-120889498-120893898	TRAF1	chr9-120889498-120893898_TRAF1	TRUE
chr4-184816907-184821648	ACSL1	chr4-184816907-184821648_ACSL1	TRUE
chr11-33699702-33701801	FBXO3	chr11-33699702-33701801_FBXO3	TRUE
chr12-9750288-9765826	CD69	chr12-9750288-9765826_CD69	TRUE
chr19-49551445-49563522	RPL13A	chr19-49551445-49563522_RPL13A	TRUE
chr19-51460492-51462244	SIGLEC10	chr19-51460492-51462244_SIGLEC10	TRUE
chr12-7958425-7962007	SLC2A3	chr12-7958425-7962007_SLC2A3	TRUE
chr1-167450515-167458277	CD247	chr1-167450515-167458277_CD247	TRUE
chr18-9779540-9780058	RAB31	chr18-9779540-9780058_RAB31	TRUE
chr5-138346675-138350773	FAM53C	chr5-138346675-138350773_FAM53C	TRUE
chr19-47317034-47325287	C5AR1	chr19-47317034-47325287_C5AR1	TRUE
chr19-45462041-45481856	ERCC1	chr19-45462041-45481856_ERCC1	TRUE
chr1-212490464-212492089	ATF3	chr1-212490464-212492089_ATF3	TRUE
chr11-108235643-108238081	ATM	chr11-108235643-108238081_ATM	TRUE
chr11-35176695-35181253	CD44	chr11-35176695-35181253_CD44	TRUE
chr2-144458547-144460632	ZEB2	chr2-144458547-144460632_ZEB2	TRUE
chr19-47483088-47499695	NAPA	chr19-47483088-47499695_NAPA	TRUE
chr2-237725109-237727938	LRRFIP1	chr2-237725109-237727938_LRRFIP1	TRUE
chr2-234420202-234428212	ARL4C	chr2-234420202-234428212_ARL4C	TRUE
chr19-49564334-49572048	FLT3LG	chr19-49564334-49572048_FLT3LG	TRUE
chr17-58630129-58633275	TEX14	chr17-58630129-58633275_TEX14	TRUE
chr2-109212669-109215733	SH3RF3	chr2-109212669-109215733_SH3RF3	TRUE
chr4-151014249-151017068	RPS3A	chr4-151014249-151017068_RPS3A	TRUE
chr21-44081263-44091379	TRAPPC10	chr21-44081263-44091379_TRAPPC10	TRUE
chr6-32472309-32474655	HLA-DRA	chr6-32472309-32474655_HLA-DRA	TRUE
chr2-112826983-112837569	IL1B	chr2-112826983-112837569_IL1B	TRUE
chr8-124629413-124631563	MTSS1	chr8-124629413-124631563_MTSS1	TRUE
chr1-58777205-58787295	JUN	chr1-58777205-58787295_JUN	TRUE
chr6-33075147-33077049	HLA-DPA1	chr6-33075147-33077049_HLA-DPA1	TRUE
chr17-3834761-3835752	P2RX1	chr17-3834761-3835752_P2RX1	TRUE
chr19-48870759-48885599	FTL	chr19-48870759-48885599_FTL	TRUE
chr19-10601761-10606297	SLC44A2	chr19-10601761-10606297_SLC44A2	TRUE
chr8-30067057-30102417	SARAF	chr8-30067057-30102417_SARAF	TRUE
chr2-98767875-98774314	MGAT4A	chr2-98767875-98774314_MGAT4A	TRUE
chr22-39239183-39245435	RPL3	chr22-39239183-39245435_RPL3	TRUE
chr11-118398435-118402795	CD3G	chr11-118398435-118402795_CD3G	TRUE
chr1-154950195-154959872	PBXIP1	chr1-154950195-154959872_PBXIP1	TRUE
chr13-40612726-40616048	FOXO1	chr13-40612726-40616048_FOXO1	TRUE
chr11-35137316-35175611	CD44	chr11-35137316-35175611_CD44	TRUE
chr14-91835408-91837532	TC2N	chr14-91835408-91837532_TC2N	TRUE
chr13-41032516-41034176	ELF1	chr13-41032516-41034176_ELF1	TRUE
chr12-54191136-54192235	CBX5	chr12-54191136-54192235_CBX5	TRUE
