gene,peak,0,1,2,3,4,5,6,chromosome,start,end,length,sum,mean,variance,norm_mean,norm_sum,gmm_bin,Peak2Gene
GBP2,chr1-89196985-89201657,-0.16426799,-0.14223173,0.25553015,0.12690221,0.06493424,0.1403931,-0.5187116,chr1,89196985,89201657,4672,1140,0.9043200115911124,433.8643547849284,0.5285834327793251,0.2440068493150685,7,True
HLA-DPA1,chr6-33077557-33083333,-0.48473135,-0.21217154,0.14726958,0.14296551,0.9229985,0.13813801,-0.57125944,chr6,33077557,33083333,5776,2073,1.85919712079968,1433.4505595198395,0.5814016062987457,0.358898891966759,0,True
TNFAIP3,chr6-137789753-137792920,-0.10802882,0.028537707,-0.15241535,0.089255296,0.09886719,0.34616733,-0.30441257,chr6,137789753,137792920,3167,1988,1.764173137648867,1318.28358608425,0.5775568494083652,0.6277233975371014,6,True
ATF3,chr1-212604203-212626574,-0.031849127,0.15531011,-0.42633834,0.20767958,0.3164538,-0.08915869,-0.3476163,chr1,212604203,212626574,22371,20266,59.10611519608688,136845.45170345673,0.8349104717086537,0.90590496625095,1,True
ARID5A,chr2-96541661-96555628,-0.07876928,0.021573557,-0.06675657,0.037969094,0.108879626,0.20186155,-0.36217126,chr2,96541661,96555628,13967,3701,3.988305420774676,4566.904567744803,0.6373347829775361,0.2649817426791723,7,True
CD6,chr11-60977201-60989782,-0.19247186,-0.1779277,-0.20014305,-0.17765872,-0.16332102,1.8928678,-0.23282936,chr11,60977201,60989782,12581,1384,1.1355405771341385,639.7572719795488,0.5452691620593563,0.1100071536443843,4,True
IFITM2,chr11-311666-318111,-0.32958767,-0.15479204,0.18046781,-0.028998518,0.37256062,0.5049445,-0.32889017,chr11,311666,318111,6445,1516,1.2659263249547767,767.0449011892854,0.5532349654605195,0.2352211016291699,7,True
CCND2,chr12-4268219-4277571,-0.1553929,0.0014414003,-0.093738794,-0.14726807,-0.07689256,1.0253996,-0.24566582,chr12,4268219,4277571,9352,5159,6.3946494837017935,8872.343100589083,0.6719325725239733,0.5516467065868264,6,True
SAMSN1,chr21-14547822-14550715,-0.049292803,0.35064244,0.047006622,-0.33356878,-0.08458952,0.08467429,-0.4821394,chr21,14547822,14550715,2893,1288,1.0428592352806558,553.6205650772479,0.5390294328183415,0.4452125820947114,13,True
HLA-DMA,chr6-33027480-33030628,-0.2759476,-0.04016662,0.07933632,0.070689306,0.47274035,0.020885265,-0.3782941,chr6,33027480,33030628,3148,3299,3.407651578479805,3628.362387017894,0.6258037984577411,1.0479669631512072,9,True
CD74,chr5-150385442-150415310,-0.38662988,-0.0713898,0.122044735,0.27535793,0.7219912,-0.1742121,-0.97302085,chr5,150385442,150415310,29868,34956,158.96489419076605,407141.64746648894,0.9074155282616392,1.170349537967055,5,True
NABP1,chr2-191689186-191692372,0.067893885,0.17757452,-0.17734872,0.003095187,-0.08448957,0.02148659,-0.39822194,chr2,191689186,191692372,3186,951,0.7344487629387514,302.08073757919306,0.5133354021912683,0.2984934086629002,7,True
NAMPT,chr7-106247094-106249884,0.29029712,0.1636377,-0.62575257,0.22841598,0.041315977,-0.17618284,-0.51388633,chr7,106247094,106249884,2790,1160,0.9228069766081826,449.3437368011559,0.5300664987906659,0.4157706093189964,13,True
PLEK,chr2-68378893-68380837,-0.0474404,0.048143324,0.08565794,-0.024550965,0.01688781,0.0012794867,-0.38719496,chr2,68378893,68380837,1944,347,0.2447152999313296,40.39061509392018,0.4327926903573461,0.1784979423868312,2,True
